Student_ID,10th_Score,12th_Score,UG_Score,Skills,Interests,Recommended_Career
S0001,90.91,85.12,73.49,"Python,Spark,SQL,ML,Big Data","Analysis,Mathematics,Research,Development",Data Scientist
S0002,84.28,93.01,87.74,"Python,SQL,ML,NLP,Computer Vision","Analysis,Research,ML,Mathematics",Data Scientist
S0003,92.32,87.69,78.61,"Python,SQL,ML,NLP,Computer Vision","Problem Solving,Research,Analysis,Technology",Data Scientist
S0004,83.63,89.67,89.79,"Python,SQL,ML,NLP,Computer Vision","Analysis,Research,ML,Mathematics",Data Scientist
S0005,93.42,84.13,83.25,"Python,R,Statistics,ML,Tableau","Research,ML,Data Analysis,Innovation",Data Scientist
S0006,81.63,78.07,77.67,"Python,TensorFlow,Keras,ML,Statistics","Analysis,Research,ML,Mathematics",Data Scientist
S0007,82.55,80.7,76.25,"Python,TensorFlow,Keras,ML,Statistics","Research,Analysis,Statistics,Problem Solving",Data Scientist
S0008,93.23,89.94,85.1,"Python,R,Statistics,ML,Tableau","Research,Analysis,Statistics,Problem Solving",Data Scientist
S0009,86.98,91.95,85.9,"R,Python,Statistics,ML,Data Visualization","Research,Statistics,Data,Innovation",Data Scientist
S0010,86.25,81.82,81.56,"R,Python,Statistics,ML,Data Visualization","Problem Solving,Research,Analysis,Technology",Data Scientist
S0011,90.24,90.25,81.64,"Python,R,Statistics,ML,Tableau","Research,Analysis,Statistics,Problem Solving",Data Scientist
S0012,89.84,86.23,83.38,"Python,R,Statistics,ML,Tableau","Analysis,Mathematics,Research,Development",Data Scientist
S0013,82.48,80.72,76.5,"Python,Spark,SQL,ML,Big Data","Research,Analysis,Statistics,Problem Solving",Data Scientist
S0014,84.65,79.6,73.05,"Python,SQL,ML,AWS,Docker","Problem Solving,Research,Analysis,Technology",Data Scientist
S0015,85.99,82.38,79.24,"Python,SQL,ML,NLP,Computer Vision","Analysis,Research,ML,Mathematics",Data Scientist
S0016,85.11,80.4,77.25,"Python,SQL,Statistics,ML,Deep Learning","Research,ML,Data Analysis,Innovation",Data Scientist
S0017,89.69,84.12,84.94,"Python,R,Statistics,ML,Tableau","Research,Statistics,Data,Innovation",Data Scientist
S0018,88.65,94.88,92.73,"R,Python,Statistics,ML,Data Visualization","Problem Solving,Research,Analysis,Technology",Data Scientist
S0019,89.71,77.32,83.74,"Python,R,Statistics,ML,Tableau","Research,Statistics,Data,Innovation",Data Scientist
S0020,94.53,87.61,83.44,"Python,Spark,SQL,ML,Big Data","Problem Solving,Research,Analysis,Technology",Data Scientist
S0021,82.93,82.97,79.88,"Python,R,Statistics,ML,Tableau","Problem Solving,Research,Analysis,Technology",Data Scientist
S0022,88.41,85.51,84.48,"Python,Spark,SQL,ML,Big Data","Research,ML,Data Analysis,Innovation",Data Scientist
S0023,86.36,75.61,75.22,"R,Python,Statistics,ML,Data Visualization","Research,Analysis,Statistics,Problem Solving",Data Scientist
S0024,94.23,84.92,88.28,"R,Python,Statistics,ML,Data Visualization","Analysis,Mathematics,Research,Development",Data Scientist
S0025,95.74,83.03,85.19,"Python,Pandas,NumPy,Scikit-learn,ML","Analysis,Mathematics,Research,Development",Data Scientist
S0026,92.1,91.7,88.73,"R,Python,Statistics,ML,Data Visualization","Analysis,Mathematics,Research,Development",Data Scientist
S0027,95.74,92.46,93.55,"R,Python,Statistics,ML,Data Visualization","Research,Analysis,Statistics,Problem Solving",Data Scientist
S0028,94.67,92.87,78.57,"R,Python,Statistics,ML,Data Visualization","Research,Analysis,Statistics,Problem Solving",Data Scientist
S0029,95.22,92.77,85.57,"Python,SQL,ML,AWS,Docker","Problem Solving,Research,Analysis,Technology",Data Scientist
S0030,80.14,87.22,79.35,"Python,SQL,Statistics,ML,Deep Learning","Problem Solving,Research,Analysis,Technology",Data Scientist
S0031,94.45,86.23,83.28,"Python,R,Statistics,ML,Tableau","Analysis,Research,ML,Mathematics",Data Scientist
S0032,83.45,88.41,70.25,"Python,SQL,ML,NLP,Computer Vision","Research,Statistics,Data,Innovation",Data Scientist
S0033,80.52,77.43,73.39,"Python,TensorFlow,Keras,ML,Statistics","Analysis,Mathematics,Research,Development",Data Scientist
